,name,Component,price,type,form_factor,speed,modules,price_per_gb,color,first_word_latency,cas_latency,capacity,cache,interface,mode,max_memory,channels,digital_audio,snr,sample_rate,chipset,Unnamed: 0,bd,dvd,cd,bd_write,dvd_write,cd_write,rpm,noise_level,size,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,tracking_method,connection_type,max_dpi,hand_orientation,capacity_w,capacity_va,efficiency,wattage,modular,airflow,pwm,channel_wattage,configuration,frequency_response,amount,socket,memory_slots,core_count,core_clock,boost_clock,tdp,graphics,smt,microphone,wireless,enclosure_type,style,switches,backlit,tenkeyless,protocol,psu,side_panel,external_volume,internal_35_bays,memory,length,resolutions,connection,focus_type,os,fov
59,Corsair Vengeance 64 GB,memory,214.51,,,"5,6400","2,32",3.352,Black / Gray,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Corsair Vengeance RGB Pro 256 GB,memory,1658.29,,,"4,3000","8,32",6.478,Black,10.667,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,TEAMGROUP T-Force Delta RGB 16 GB,memory,51.25,,,"4,3600","2,8",3.203,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,TEAMGROUP T-Force Vulcan 32 GB,memory,102.99,,,"5,6000","2,16",3.218,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,TEAMGROUP T-Force Delta RGB 32 GB,memory,105.99,,,"5,6000","2,16",3.312,White,12.667,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TEAMGROUP T-Force Delta RGB 16 GB,memory,47.99,,,"4,3600","2,8",2.999,White,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Corsair Vengeance RGB 32 GB,memory,109.99,,,"5,5200","2,16",3.437,White,15.385,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Crucial CT2K8G48C40U5 16 GB,memory,52.99,,,"5,4800","2,8",3.312,Black,16.667,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Corsair Dominator Platinum RGB 32 GB,memory,169.99,,,"5,6200","2,16",5.312,White,11.613,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,G.Skill Trident Z5 Neo RGB 64 GB,memory,209.99,,,"5,6000","2,32",3.281,Black / Silver,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,G.Skill Ripjaws V 32 GB,memory,79.98,,,"4,3600","2,16",2.499,Black,8.889,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,G.Skill Trident Z RGB 16 GB,memory,56.99,,,"4,3600","2,8",3.562,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Corsair Vengeance 32 GB,memory,102.99,,,"5,6000","2,16",3.218,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,G.Skill Flare X5 64 GB,memory,199.99,,,"5,6000","2,32",3.125,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Crucial Pro 32 GB,memory,65.98,,,"4,3200","2,16",2.062,Black,13.75,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Corsair Vengeance RGB Pro 32 GB,memory,81.99,,,"4,3200","2,16",2.562,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TEAMGROUP T-Create Expert 32 GB,memory,102.99,,,"5,6000","2,16",3.218,White,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Corsair Vengeance RGB 64 GB,memory,229.99,,,"5,6000","2,32",3.594,White / Silver,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Kingston FURY Beast 32 GB,memory,81.99,,,"4,3200","2,16",2.562,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TEAMGROUP Vulcan Z 16 GB,memory,38.99,,,"4,3600","2,8",2.437,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Kingston FURY Beast RGB 32 GB,memory,127.99,,,"5,6000","2,16",4.0,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Silicon Power SP032GBLVU560FD2AD 32 GB,memory,79.99,,,"5,5600","2,16",2.5,Black,16.429,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Corsair Dominator Titanium 64 GB,memory,309.99,,,"5,6600","2,32",4.844,Black,9.697,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,TEAMGROUP T-Create Classic 32 GB,memory,83.99,,,"5,5600","2,16",2.625,Black,16.429,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Corsair Vengeance 32 GB,memory,119.99,,,"5,6400","2,16",3.75,Black,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,TEAMGROUP T-Create Classic 32 GB,memory,87.99,,,"5,6000","2,16",2.75,Black,16.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,G.Skill Trident Z 32 GB,memory,754.94,,,"5,6000","2,16",23.592,White / Black,13.333,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Crucial Pro 32 GB,memory,104.99,,,"5,5600","2,16",3.281,Black,16.429,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Corsair Vengeance LPX 16 GB,memory,39.99,,,"4,3200","2,8",2.499,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Corsair Vengeance 64 GB,memory,214.99,,,"5,6000","2,32",3.359,Black / Gray,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TEAMGROUP T-Force Vulcan 32 GB,memory,99.99,,,"5,6000","2,16",3.125,Black,12.667,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Corsair Vengeance RGB 192 GB,memory,659.99,,,"5,5200","4,48",3.437,Black,14.615,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Silicon Power XPOWER Zenith Gaming 32 GB,memory,94.97,,,"5,6000","2,16",2.968,White,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,TEAMGROUP T-Force Delta RGB 32 GB,memory,69.98,,,"4,3600","2,16",2.187,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Kingston FURY Beast RGB 16 GB,memory,92.99,,,"5,6000","2,8",5.812,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Patriot Viper Venom 16 GB,memory,67.98,,,"5,5200","2,8",4.249,Black / White,13.846,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,G.Skill Trident Z5 RGB 32 GB,memory,112.99,,,"5,6400","2,16",3.531,White / Black,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Silicon Power XPOWER Turbine 16 GB,memory,34.97,,,"4,3200","2,8",2.186,Blue,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Corsair Vengeance 128 GB,memory,429.99,,,"5,5600","4,32",3.359,Black,14.286,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,G.Skill Trident Z Neo 32 GB,memory,89.99,,,"4,3600","2,16",2.812,Black / Silver,8.889,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TEAMGROUP T-Create Expert 32 GB,memory,99.99,,,"5,6400","2,16",3.125,Black,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Corsair Vengeance LPX 8 GB,memory,24.99,,,"4,2400","1,8",3.124,Black / Yellow,13.333,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Kingston FURY Beast 8 GB,memory,28.44,,,"4,3200","1,8",3.555,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,G.Skill Ripjaws S5 32 GB,memory,105.99,,,"5,5600","2,16",3.312,Black,10.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,G.Skill Trident Z5 RGB 96 GB,memory,399.99,,,"5,6800","2,48",4.167,Black,10.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Crucial CT25664AA667 2 GB,memory,11.0,,,"2,667","1,2",5.5,Green,14.993,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,G.Skill Trident Z5 RGB 64 GB,memory,217.99,,,"5,6400","2,32",3.406,White / Black,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Corsair Dominator Titanium 32 GB,memory,172.99,,,"5,6000","2,16",5.406,White,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TEAMGROUP Elite 16 GB,memory,49.99,,,"5,4800","2,8",3.124,Black,16.667,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Corsair Dominator Platinum RGB 32 GB,memory,169.99,,,"5,6200","2,16",5.312,Black,11.613,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lexar Ares RGB 32 GB,memory,124.79,,,"5,6400","2,16",3.9,Black / Silver,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
